,target,item_id
2021-02-01 00:00:00 UTC,4.263968589,A
2021-02-02 00:00:00 UTC,4.594574803,A
2021-02-03 00:00:00 UTC,5.257321085,A
2021-02-04 00:00:00 UTC,5.721470794,A
2021-02-05 00:00:00 UTC,6.416246734,A
2021-02-06 00:00:00 UTC,6.706647732,A
2021-02-07 00:00:00 UTC,6.117657912,A
2021-02-08 00:00:00 UTC,6.657339688,A
2021-02-09 00:00:00 UTC,7.908749784,A
2021-02-10 00:00:00 UTC,7.840138331,A
2021-02-11 00:00:00 UTC,9.021720125,A
2021-02-12 00:00:00 UTC,9.200179305,A
2021-02-13 00:00:00 UTC,9.228804888,A
2021-02-14 00:00:00 UTC,8.713969624,A
2021-02-15 00:00:00 UTC,8.727632198,A
2021-02-16 00:00:00 UTC,8.847305421,A
2021-02-17 00:00:00 UTC,8.30280603,A
2021-02-18 00:00:00 UTC,8.231931006,A
2021-02-19 00:00:00 UTC,9.012662633,A
2021-02-20 00:00:00 UTC,11.4408694,A
2021-02-21 00:00:00 UTC,10.04473383,A
2021-02-22 00:00:00 UTC,11.11340294,A
2021-02-23 00:00:00 UTC,14.42373053,A
2021-02-24 00:00:00 UTC,15.15827795,A
2021-02-25 00:00:00 UTC,17.47180364,A
2021-02-26 00:00:00 UTC,13.81100907,A
2021-02-27 00:00:00 UTC,13.66893596,A
2021-02-28 00:00:00 UTC,13.31096512,A
2021-03-01 00:00:00 UTC,13.03076907,A
2021-03-02 00:00:00 UTC,15.03008569,A
2021-03-03 00:00:00 UTC,14.01008625,A
2021-03-04 00:00:00 UTC,14.13100351,A
2021-03-05 00:00:00 UTC,13.11502409,A
2021-03-06 00:00:00 UTC,12.63107018,A
2021-03-07 00:00:00 UTC,13.06809551,A
2021-03-08 00:00:00 UTC,13.91718705,A
2021-03-09 00:00:00 UTC,13.64022584,A
2021-03-10 00:00:00 UTC,14.86660709,A
2021-03-11 00:00:00 UTC,14.23353965,A
2021-03-12 00:00:00 UTC,15.97657142,A
2021-03-13 00:00:00 UTC,14.59862313,A
2021-03-14 00:00:00 UTC,15.31847866,A
2021-03-15 00:00:00 UTC,14.56731405,A
2021-03-16 00:00:00 UTC,14.16336589,A
2021-03-17 00:00:00 UTC,13.68931374,A
2021-03-18 00:00:00 UTC,14.27775626,A
2021-03-19 00:00:00 UTC,14.26867568,A
2021-03-20 00:00:00 UTC,14.1828667,A
2021-03-21 00:00:00 UTC,14.27580403,A
2021-03-22 00:00:00 UTC,14.30622975,A
2021-03-23 00:00:00 UTC,14.87033748,A
2021-03-24 00:00:00 UTC,14.19456779,A
2021-03-25 00:00:00 UTC,13.60393816,A
2021-03-26 00:00:00 UTC,12.96452276,A
2021-03-27 00:00:00 UTC,14.74905407,A
2021-03-28 00:00:00 UTC,16.56643725,A
2021-03-29 00:00:00 UTC,18.00806967,A
2021-03-30 00:00:00 UTC,18.88489087,A
2021-03-31 00:00:00 UTC,19.17575575,A
2021-04-01 00:00:00 UTC,19.48663194,A
2021-04-02 00:00:00 UTC,19.05545052,A
2021-04-03 00:00:00 UTC,19.73831925,A
2021-04-04 00:00:00 UTC,22.59896305,A
2021-04-05 00:00:00 UTC,24.02282912,A
2021-04-06 00:00:00 UTC,22.94298584,A
2021-04-07 00:00:00 UTC,24.98954918,A
2021-04-08 00:00:00 UTC,26.67473295,A
2021-04-09 00:00:00 UTC,27.00514637,A
2021-04-10 00:00:00 UTC,27.78469812,A
2021-04-11 00:00:00 UTC,26.83396606,A
2021-04-12 00:00:00 UTC,27.81776983,A
2021-04-13 00:00:00 UTC,28.52398051,A
2021-04-14 00:00:00 UTC,27.56950727,A
2021-04-15 00:00:00 UTC,26.45151636,A
2021-04-16 00:00:00 UTC,27.82949194,A
2021-04-17 00:00:00 UTC,25.28026504,A
2021-04-18 00:00:00 UTC,25.01097915,A
2021-04-19 00:00:00 UTC,32.43000667,A
2021-04-20 00:00:00 UTC,31.7251483,A
2021-04-21 00:00:00 UTC,31.68779272,A
2021-04-22 00:00:00 UTC,32.31362189,A
2021-04-23 00:00:00 UTC,39.04180159,A
2021-04-24 00:00:00 UTC,37.0668897,A
2021-04-25 00:00:00 UTC,40.74492272,A
2021-04-26 00:00:00 UTC,47.66158942,A
2021-04-27 00:00:00 UTC,44.49648066,A
2021-04-28 00:00:00 UTC,43.2179654,A
2021-04-29 00:00:00 UTC,45.03962011,A
2021-04-30 00:00:00 UTC,42.5819452,A
2021-05-01 00:00:00 UTC,42.99529635,A
2021-05-02 00:00:00 UTC,49.66339414,A
2021-05-03 00:00:00 UTC,46.93452855,A
2021-05-04 00:00:00 UTC,46.08780895,A
2021-05-05 00:00:00 UTC,42.7018941,A
2021-05-06 00:00:00 UTC,44.89309349,A
2021-05-07 00:00:00 UTC,43.43782697,A
2021-05-08 00:00:00 UTC,43.07213433,A
2021-05-09 00:00:00 UTC,45.6856733,A
2021-05-10 00:00:00 UTC,44.35912616,A
2021-05-11 00:00:00 UTC,42.960486,A
2021-05-12 00:00:00 UTC,44.72439582,A
2021-05-13 00:00:00 UTC,43.62157837,A
